,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,60000,95,2,3.84,6.25,0.1,3.82,5.99
1,75000,95,2,3.8,9.76,0.1,3.68,7.22
2,90000,95,2,3.42,7.34,0.1,3.42,6.82
3,105000,95,2,3.6,10.44,0.1,3.6,6.09
4,120000,95,2,3.66,9.87,0.1,3.66,5.67
5,15000,95,2,3.7,6.23,0.1,3.7,6.02
6,30000,95,2,3.37,5.97,0.1,3.37,5.96
7,45000,95,2,3.5,6.57,0.1,3.5,6.35
8,30000,95,1,3.68,4.64,0.1,3.68,4.54
9,35000,95,1,3.83,4.52,0.1,3.83,4.52
10,40000,95,1,3.37,4.48,0.1,3.36,4.29
11,45000,95,1,3.5,4.52,0.1,3.49,4.38
